date,region,shift_type,agents_scheduled,agents_present,absentee_count,supervisor_on_duty
2023-01-05,West,Evening,11,10,1,True
2023-01-05,West,Night,14,13,1,True
2023-01-06,North,Morning,5,3,2,True
2023-01-06,North,Evening,9,9,0,True
2023-01-06,North,Night,11,9,2,False
2023-01-06,South,Morning,12,12,0,True
2023-01-06,South,Evening,8,6,2,True
2023-01-06,South,Night,8,8,0,True
2023-01-06,East,Morning,8,7,1,True
2023-01-06,East,Evening,14,14,0,True
2023-01-06,East,Night,7,5,2,True
2023-01-06,West,Morning,7,6,1,True
2023-01-06,West,Evening,10,10,0,True
2023-01-06,West,Night,12,11,1,True
2023-01-07,North,Morning,14,12,2,True
2023-01-07,North,Evening,10,8,2,True
2023-01-07,North,Night,7,7,0,True
2023-01-07,South,Morning,6,4,2,True
2023-01-07,South,Evening,10,8,2,True
2023-01-07,South,Night,14,13,1,True
2023-01-07,East,Morning,7,5,2,True
2023-01-07,East,Evening,8,6,2,True
2023-01-07,East,Night,13,12,1,True
2023-01-07,West,Morning,11,10,1,False
2023-01-07,West,Evening,14,14,0,True
2023-01-07,West,Night,9,9,0,True
2023-01-08,North,Morning,6,4,2,True
2023-01-08,North,Evening,9,7,2,True
2023-01-08,North,Night,5,5,0,True
2023-01-08,South,Morning,5,4,1,True
2023-01-08,South,Evening,13,11,2,False
2023-01-08,South,Night,13,13,0,True
2023-01-08,East,Morning,11,9,2,True
2023-01-08,East,Evening,5,5,0,True
2023-01-08,East,Night,14,14,0,True
2023-01-08,West,Morning,13,11,2,True
2023-01-08,West,Evening,8,8,0,True
2023-01-08,West,Night,6,5,1,True
2023-01-09,North,Morning,11,9,2,True
2023-01-09,North,Evening,14,12,2,True
2023-01-09,North,Night,9,8,1,True
2023-01-09,South,Morning,10,9,1,True
2023-01-09,South,Evening,12,12,0,True
2023-01-09,South,Night,13,12,1,True
2023-01-09,East,Morning,7,5,2,True
2023-01-09,East,Evening,8,8,0,True
2023-01-09,East,Night,7,7,0,True
2023-01-09,West,Morning,13,12,1,True
2023-01-09,West,Evening,11,11,0,True
2023-01-09,West,Night,5,5,0,True
2023-01-10,North,Morning,8,8,0,True
2023-01-10,North,Evening,14,13,1,True
2023-01-10,North,Night,13,11,2,False
2023-01-10,South,Morning,6,4,2,True
2023-01-10,South,Evening,14,13,1,True
2023-01-10,South,Night,8,8,0,True
2023-01-10,East,Morning,9,8,1,True
2023-01-10,East,Evening,10,10,0,True
2023-01-10,East,Night,14,14,0,True
2023-01-10,West,Morning,6,5,1,True
2023-01-10,West,Evening,6,5,1,True
2023-01-10,West,Night,8,6,2,True
2023-01-11,North,Morning,14,14,0,True
2023-01-11,North,Evening,13,11,2,True
2023-01-11,North,Night,5,5,0,True
2023-01-11,South,Morning,12,11,1,True
2023-01-11,South,Evening,8,8,0,True
2023-01-11,South,Night,10,10,0,True
2023-01-11,East,Morning,14,12,2,True
2023-01-11,East,Evening,8,8,0,True
2023-01-11,East,Night,9,7,2,True
2023-01-11,West,Morning,11,11,0,True
2023-01-11,West,Evening,5,4,1,True
2023-01-11,West,Night,12,11,1,True
2023-01-12,North,Morning,14,13,1,True
2023-01-12,North,Evening,7,7,0,True
2023-01-12,North,Night,9,8,1,True
2023-01-12,South,Morning,12,12,0,True
2023-01-12,South,Evening,6,6,0,True
2023-01-12,South,Night,5,3,2,True
2023-01-12,East,Morning,7,7,0,True
2023-01-12,East,Evening,8,8,0,True
2023-01-12,East,Night,10,9,1,True
2023-01-12,West,Morning,11,11,0,True
2023-01-12,West,Evening,9,8,1,True
2023-01-12,West,Night,6,6,0,True
2023-01-13,North,Morning,9,7,2,True
2023-01-13,North,Evening,5,4,1,True
2023-01-13,North,Night,13,11,2,True
2023-01-13,South,Morning,13,11,2,True
2023-01-13,South,Evening,9,7,2,True
2023-01-13,South,Night,6,4,2,True
2023-01-13,East,Morning,6,4,2,True
2023-01-13,East,Evening,11,11,0,True
2023-01-13,East,Night,12,12,0,True
2023-01-13,West,Morning,13,12,1,True
2023-01-13,West,Evening,10,8,2,True
2023-01-13,West,Night,9,7,2,True
2023-01-14,North,Morning,7,7,0,True
2023-01-14,North,Evening,10,10,0,True
2023-01-14,North,Night,8,7,1,True
2023-01-14,South,Morning,12,12,0,True
2023-01-14,South,Evening,6,4,2,True
2023-01-14,South,Night,11,10,1,True
2023-01-14,East,Morning,14,13,1,True
2023-01-14,East,Evening,6,5,1,True
2023-01-14,East,Night,13,11,2,True
2023-01-14,West,Morning,9,7,2,True
2023-01-14,West,Evening,9,9,0,True
2023-01-14,West,Night,7,5,2,True
2023-01-15,North,Morning,6,5,1,True
2023-01-15,North,Evening,12,10,2,True
2023-01-15,North,Night,14,14,0,True
2023-01-15,South,Morning,9,9,0,True
2023-01-15,South,Evening,13,13,0,True
2023-01-15,South,Night,14,13,1,True
2023-01-15,East,Morning,12,10,2,True
2023-01-15,East,Evening,9,7,2,True
2023-01-15,East,Night,13,12,1,True
2023-01-15,West,Morning,6,5,1,True
2023-01-15,West,Evening,10,9,1,True
2023-01-15,West,Night,5,3,2,False
2023-01-16,North,Morning,10,10,0,True
2023-01-16,North,Evening,7,6,1,True
2023-01-16,North,Night,6,5,1,True
2023-01-16,South,Morning,5,4,1,True
2023-01-16,South,Evening,12,11,1,True
2023-01-16,South,Night,11,9,2,True
2023-01-16,East,Morning,9,9,0,True
2023-01-16,East,Evening,14,13,1,True
2023-01-16,East,Night,13,13,0,True
2023-01-16,West,Morning,6,4,2,True
2023-01-16,West,Evening,8,8,0,True
2023-01-16,West,Night,8,8,0,True
2023-01-17,North,Morning,8,6,2,True
2023-01-17,North,Evening,12,11,1,True
2023-01-17,North,Night,13,13,0,True
2023-01-17,South,Morning,12,12,0,True
2023-01-17,South,Evening,8,8,0,True
2023-01-17,South,Night,13,13,0,False
2023-01-17,East,Morning,8,8,0,True
2023-01-17,East,Evening,14,14,0,True
2023-01-17,East,Night,7,6,1,True
2023-01-17,West,Morning,10,9,1,True
2023-01-17,West,Evening,14,14,0,True
2023-01-17,West,Night,8,8,0,True
2023-01-18,North,Morning,12,12,0,True
2023-01-18,North,Evening,6,4,2,True
2023-01-18,North,Night,13,13,0,True
2023-01-18,South,Morning,12,10,2,True
2023-01-18,South,Evening,9,7,2,True
2023-01-18,South,Night,8,6,2,True
2023-01-18,East,Morning,9,9,0,True
2023-01-18,East,Evening,13,11,2,False
2023-01-18,East,Night,13,13,0,True
2023-01-18,West,Morning,8,8,0,True
2023-01-18,West,Evening,10,9,1,True
2023-01-18,West,Night,7,7,0,False
2023-01-19,North,Morning,8,6,2,True
2023-01-19,North,Evening,10,10,0,True
2023-01-19,North,Night,9,8,1,True
2023-01-19,South,Morning,10,10,0,False
2023-01-19,South,Evening,8,7,1,True
2023-01-19,South,Night,7,5,2,True
2023-01-19,East,Morning,13,12,1,True
2023-01-19,East,Evening,9,9,0,True
2023-01-19,East,Night,5,5,0,True
2023-01-19,West,Morning,9,9,0,True
2023-01-19,West,Evening,11,9,2,True
2023-01-19,West,Night,5,5,0,True
2023-01-20,North,Morning,11,10,1,False
2023-01-20,North,Evening,8,6,2,False
2023-01-20,North,Night,10,10,0,False
2023-01-20,South,Morning,7,7,0,True
2023-01-20,South,Evening,9,9,0,True
2023-01-20,South,Night,9,9,0,True
2023-01-20,East,Morning,5,4,1,True
2023-01-20,East,Evening,12,12,0,True
2023-01-20,East,Night,10,8,2,True
2023-01-20,West,Morning,8,8,0,True
2023-01-20,West,Evening,8,6,2,True
2023-01-20,West,Night,10,8,2,True
2023-01-21,North,Morning,8,6,2,True
2023-01-21,North,Evening,7,5,2,True
2023-01-21,North,Night,10,9,1,True
2023-01-21,South,Morning,9,9,0,True
2023-01-21,South,Evening,9,7,2,True
2023-01-21,South,Night,6,6,0,True
2023-01-21,East,Morning,9,8,1,True
2023-01-21,East,Evening,7,5,2,True
2023-01-21,East,Night,14,12,2,True
2023-01-21,West,Morning,9,7,2,True
2023-01-21,West,Evening,6,5,1,True
2023-01-21,West,Night,14,14,0,True
2023-01-22,North,Morning,7,5,2,False
2023-01-22,North,Evening,5,5,0,True
2023-01-22,North,Night,10,9,1,True
2023-01-22,South,Morning,7,5,2,False
2023-01-22,South,Evening,6,4,2,True
2023-01-22,South,Night,13,12,1,True
2023-01-22,East,Morning,10,10,0,True
2023-01-22,East,Evening,9,9,0,True
2023-01-22,East,Night,8,6,2,True
2023-01-22,West,Morning,9,8,1,True
2023-01-22,West,Evening,8,8,0,True
2023-01-22,West,Night,7,5,2,True
2023-01-23,North,Morning,6,5,1,True
2023-01-23,North,Evening,12,11,1,True
2023-01-23,North,Night,11,10,1,True
2023-01-23,South,Morning,6,5,1,True
2023-01-23,South,Evening,12,12,0,True
2023-01-23,South,Night,7,6,1,True
2023-01-23,East,Morning,8,7,1,True
2023-01-23,East,Evening,7,7,0,True
2023-01-23,East,Night,9,9,0,True
2023-01-23,West,Morning,11,11,0,True
2023-01-23,West,Evening,5,5,0,False
2023-01-23,West,Night,7,5,2,True
2023-01-24,North,Morning,9,7,2,True
2023-01-24,North,Evening,14,12,2,True
2023-01-24,North,Night,12,10,2,True
2023-01-24,South,Morning,14,13,1,False
2023-01-24,South,Evening,11,11,0,True
2023-01-24,South,Night,8,8,0,True
2023-01-24,East,Morning,11,9,2,True
2023-01-24,East,Evening,12,11,1,True
2023-01-24,East,Night,8,8,0,True
2023-01-24,West,Morning,11,11,0,True
2023-01-24,West,Evening,7,5,2,True
2023-01-24,West,Night,5,3,2,True
2023-01-25,North,Morning,6,6,0,True
2023-01-25,North,Evening,11,11,0,True
2023-01-25,North,Night,11,11,0,True
2023-01-25,South,Morning,11,11,0,True
2023-01-25,South,Evening,7,6,1,True
2023-01-25,South,Night,11,9,2,False
2023-01-25,East,Morning,5,3,2,True
2023-01-25,East,Evening,10,8,2,True
2023-01-25,East,Night,9,7,2,True
2023-01-25,West,Morning,9,7,2,True
2023-01-25,West,Evening,6,6,0,True
2023-01-25,West,Night,8,8,0,True
2023-01-26,North,Morning,6,5,1,True
2023-01-26,North,Evening,13,13,0,True
2023-01-26,North,Night,10,10,0,True
2023-01-26,South,Morning,10,10,0,True
2023-01-26,South,Evening,10,9,1,True
2023-01-26,South,Night,9,9,0,True
2023-01-26,East,Morning,6,4,2,True
2023-01-26,East,Evening,11,9,2,True
2023-01-26,East,Night,10,9,1,True
2023-01-26,West,Morning,13,12,1,True
2023-01-26,West,Evening,5,3,2,True
2023-01-26,West,Night,14,12,2,False
2023-01-27,North,Morning,14,13,1,True
2023-01-27,North,Evening,13,13,0,True
2023-01-27,North,Night,12,10,2,True
2023-01-27,South,Morning,11,9,2,True
2023-01-27,South,Evening,5,3,2,True
2023-01-27,South,Night,5,3,2,True
2023-01-27,East,Morning,12,10,2,True
2023-01-27,East,Evening,14,12,2,True
2023-01-27,East,Night,8,6,2,True
2023-01-27,West,Morning,14,13,1,True
2023-01-27,West,Evening,10,8,2,True
2023-01-27,West,Night,14,14,0,True
2023-01-28,North,Morning,6,6,0,True
2023-01-28,North,Evening,7,7,0,True
2023-01-28,North,Night,11,11,0,True
2023-01-28,South,Morning,8,6,2,True
2023-01-28,South,Evening,14,13,1,True
2023-01-28,South,Night,14,14,0,False
2023-01-28,East,Morning,5,3,2,True
2023-01-28,East,Evening,13,12,1,True
2023-01-28,East,Night,11,9,2,True
2023-01-28,West,Morning,13,11,2,True
2023-01-28,West,Evening,13,13,0,False
2023-01-28,West,Night,8,7,1,True
2023-01-29,North,Morning,5,4,1,False
2023-01-29,North,Evening,14,12,2,True
2023-01-29,North,Night,5,5,0,True
2023-01-29,South,Morning,6,6,0,True
2023-01-29,South,Evening,11,10,1,True
2023-01-29,South,Night,14,12,2,True
2023-01-29,East,Morning,13,12,1,True
2023-01-29,East,Evening,13,11,2,True
2023-01-29,East,Night,11,10,1,True
2023-01-29,West,Morning,13,12,1,True
2023-01-29,West,Evening,5,5,0,True
2023-01-29,West,Night,10,10,0,True
2023-01-30,North,Morning,12,12,0,True
2023-01-30,North,Evening,9,7,2,True
2023-01-30,North,Night,8,6,2,True
2023-01-30,South,Morning,7,7,0,True
2023-01-30,South,Evening,11,10,1,True
2023-01-30,South,Night,6,6,0,True
2023-01-30,East,Morning,7,7,0,True
2023-01-30,East,Evening,7,6,1,True
2023-01-30,East,Night,8,6,2,True
2023-01-30,West,Morning,14,14,0,True
2023-01-30,West,Evening,13,13,0,True
2023-01-30,West,Night,5,3,2,True
2023-01-31,North,Morning,9,7,2,False
2023-01-31,North,Evening,5,4,1,True
2023-01-31,North,Night,8,6,2,True
2023-01-31,South,Morning,7,7,0,True
2023-01-31,South,Evening,8,7,1,True
2023-01-31,South,Night,11,10,1,True
2023-01-31,East,Morning,7,7,0,True
2023-01-31,East,Evening,14,14,0,True
2023-01-31,East,Night,12,11,1,True
2023-01-31,West,Morning,6,6,0,True
2023-01-31,West,Evening,10,10,0,True
2023-01-31,West,Night,6,5,1,True
2023-02-01,North,Morning,5,5,0,True
2023-02-01,North,Evening,13,13,0,False
2023-02-01,North,Night,8,6,2,True
2023-02-01,South,Morning,11,10,1,True
2023-02-01,South,Evening,13,12,1,True
2023-02-01,South,Night,7,6,1,True
2023-02-01,East,Morning,6,5,1,True
2023-02-01,East,Evening,11,10,1,True
2023-02-01,East,Night,7,7,0,True
2023-02-01,West,Morning,11,9,2,True
2023-02-01,West,Evening,13,12,1,True
2023-02-01,West,Night,6,6,0,True
2023-02-02,North,Morning,9,9,0,True
2023-02-02,North,Evening,9,7,2,True
2023-02-02,North,Night,9,7,2,True
2023-02-02,South,Morning,14,12,2,False
2023-02-02,South,Evening,6,4,2,True
2023-02-02,South,Night,9,8,1,True
2023-02-02,East,Morning,7,7,0,True
2023-02-02,East,Evening,9,7,2,True
2023-02-02,East,Night,7,7,0,True
2023-02-02,West,Morning,14,13,1,True
2023-02-02,West,Evening,9,7,2,True
2023-02-02,West,Night,8,8,0,True
2023-02-03,North,Morning,10,10,0,True
2023-02-03,North,Evening,14,14,0,True
2023-02-03,North,Night,11,11,0,True
2023-02-03,South,Morning,6,6,0,True
2023-02-03,South,Evening,12,12,0,True
2023-02-03,South,Night,14,13,1,True
2023-02-03,East,Morning,13,11,2,True
2023-02-03,East,Evening,5,5,0,True
2023-02-03,East,Night,13,11,2,True
2023-02-03,West,Morning,12,11,1,True
2023-02-03,West,Evening,13,12,1,True
2023-02-03,West,Night,11,11,0,True
2023-02-04,North,Morning,9,9,0,True
2023-02-04,North,Evening,7,5,2,True
2023-02-04,North,Night,13,13,0,True
2023-02-04,South,Morning,11,10,1,True
2023-02-04,South,Evening,9,9,0,True
2023-02-04,South,Night,13,11,2,True
2023-02-04,East,Morning,10,10,0,True
2023-02-04,East,Evening,12,10,2,True
2023-02-04,East,Night,11,10,1,True
2023-02-04,West,Morning,9,7,2,True
2023-02-04,West,Evening,5,5,0,True
2023-02-04,West,Night,5,5,0,True
2023-02-05,North,Morning,11,10,1,True
2023-02-05,North,Evening,13,12,1,True
2023-02-05,North,Night,8,6,2,True
2023-02-05,South,Morning,5,3,2,True
2023-02-05,South,Evening,9,9,0,False
2023-02-05,South,Night,12,12,0,True
2023-02-05,East,Morning,6,6,0,True
2023-02-05,East,Evening,5,4,1,True
2023-02-05,East,Night,10,10,0,True
2023-02-05,West,Morning,14,14,0,True
2023-02-05,West,Evening,13,13,0,True
2023-02-05,West,Night,12,11,1,True
2023-02-06,North,Morning,12,11,1,True
2023-02-06,North,Evening,13,13,0,True
2023-02-06,North,Night,13,13,0,True
2023-02-06,South,Morning,7,6,1,True
2023-02-06,South,Evening,14,13,1,True
2023-02-06,South,Night,7,6,1,True
2023-02-06,East,Morning,6,5,1,True
2023-02-06,East,Evening,8,6,2,True
2023-02-06,East,Night,13,11,2,True
2023-02-06,West,Morning,7,5,2,True
2023-02-06,West,Evening,11,10,1,True
2023-02-06,West,Night,12,11,1,True
2023-02-07,North,Morning,7,5,2,True
2023-02-07,North,Evening,8,7,1,True
2023-02-07,North,Night,11,9,2,True
2023-02-07,South,Morning,5,3,2,True
2023-02-07,South,Evening,9,9,0,True
2023-02-07,South,Night,11,9,2,True
2023-02-07,East,Morning,14,14,0,True
2023-02-07,East,Evening,11,9,2,True
2023-02-07,East,Night,5,3,2,True
2023-02-07,West,Morning,5,4,1,True
2023-02-07,West,Evening,8,6,2,True
2023-02-07,West,Night,10,8,2,True
2023-02-08,North,Morning,9,9,0,True
2023-02-08,North,Evening,10,10,0,False
2023-02-08,North,Night,8,8,0,True
2023-02-08,South,Morning,12,11,1,True
2023-02-08,South,Evening,9,8,1,True
2023-02-08,South,Night,13,11,2,True
2023-02-08,East,Morning,13,11,2,True
2023-02-08,East,Evening,10,9,1,True
2023-02-08,East,Night,13,13,0,True
2023-02-08,West,Morning,5,5,0,True
2023-02-08,West,Evening,14,12,2,True
2023-02-08,West,Night,6,6,0,False
2023-02-09,North,Morning,14,14,0,True
2023-02-09,North,Evening,5,4,1,True
2023-02-09,North,Night,10,8,2,True
2023-02-09,South,Morning,13,11,2,True
2023-02-09,South,Evening,5,5,0,True
2023-02-09,South,Night,9,9,0,True
2023-02-09,East,Morning,12,12,0,True
2023-02-09,East,Evening,7,7,0,True
2023-02-09,East,Night,7,5,2,False
2023-02-09,West,Morning,13,11,2,False
2023-02-09,West,Evening,9,8,1,True
2023-02-09,West,Night,11,11,0,True
2023-02-10,North,Morning,5,4,1,True
2023-02-10,North,Evening,9,8,1,True
2023-02-10,North,Night,7,6,1,True
2023-02-10,South,Morning,5,5,0,True
2023-02-10,South,Evening,14,12,2,True
2023-02-10,South,Night,10,8,2,True
2023-02-10,East,Morning,12,10,2,True
2023-02-10,East,Evening,9,7,2,True
2023-02-10,East,Night,7,7,0,True
2023-02-10,West,Morning,8,7,1,True
2023-02-10,West,Evening,11,11,0,True
2023-02-10,West,Night,14,13,1,True
2023-02-11,North,Morning,6,4,2,True
2023-02-11,North,Evening,7,7,0,True
2023-02-11,North,Night,7,7,0,True
2023-02-11,South,Morning,7,6,1,True
2023-02-11,South,Evening,12,12,0,True
2023-02-11,South,Night,13,13,0,True
2023-02-11,East,Morning,10,8,2,True
2023-02-11,East,Evening,7,6,1,True
2023-02-11,East,Night,14,14,0,True
2023-02-11,West,Morning,12,10,2,True
2023-02-11,West,Evening,13,13,0,False
2023-02-11,West,Night,8,8,0,True
2023-02-12,North,Morning,14,14,0,True
2023-02-12,North,Evening,13,13,0,True
2023-02-12,North,Night,7,6,1,True
2023-02-12,South,Morning,9,9,0,False
2023-02-12,South,Evening,7,5,2,True
2023-02-12,South,Night,11,10,1,True
2023-02-12,East,Morning,11,10,1,True
2023-02-12,East,Evening,12,10,2,True
2023-02-12,East,Night,13,13,0,True
2023-02-12,West,Morning,7,6,1,True
2023-02-12,West,Evening,6,6,0,True
2023-02-12,West,Night,7,6,1,True
2023-02-13,North,Morning,9,7,2,True
2023-02-13,North,Evening,13,11,2,True
2023-02-13,North,Night,13,12,1,True
2023-02-13,South,Morning,7,5,2,True
2023-02-13,South,Evening,9,8,1,True
2023-02-13,South,Night,10,8,2,True
2023-02-13,East,Morning,13,12,1,True
2023-02-13,East,Evening,10,8,2,True
2023-02-13,East,Night,10,8,2,True
2023-02-13,West,Morning,6,4,2,True
2023-02-13,West,Evening,9,9,0,False
2023-02-13,West,Night,8,7,1,True
2023-02-14,North,Morning,6,4,2,True
2023-02-14,North,Evening,9,7,2,True
2023-02-14,North,Night,11,11,0,True
2023-02-14,South,Morning,14,13,1,True
2023-02-14,South,Evening,5,3,2,True
2023-02-14,South,Night,12,11,1,True
2023-02-14,East,Morning,11,10,1,True
2023-02-14,East,Evening,6,6,0,True
2023-02-14,East,Night,5,3,2,True
2023-02-14,West,Morning,5,4,1,True
2023-02-14,West,Evening,9,8,1,True
2023-02-14,West,Night,14,13,1,True
2023-02-15,North,Morning,6,6,0,True
2023-02-15,North,Evening,12,12,0,False
2023-02-15,North,Night,10,8,2,True
2023-02-15,South,Morning,11,9,2,True
2023-02-15,South,Evening,5,5,0,True
2023-02-15,South,Night,13,13,0,True
2023-02-15,East,Morning,9,7,2,False
2023-02-15,East,Evening,6,6,0,True
2023-02-15,East,Night,10,8,2,True
2023-02-15,West,Morning,6,6,0,True
2023-02-15,West,Evening,8,7,1,True
2023-02-15,West,Night,10,9,1,True
2023-02-16,North,Morning,5,5,0,True
2023-02-16,North,Evening,9,8,1,True
2023-02-16,North,Night,8,6,2,True
2023-02-16,South,Morning,12,10,2,True
2023-02-16,South,Evening,9,9,0,True
2023-02-16,South,Night,7,6,1,True
2023-02-16,East,Morning,11,9,2,True
2023-02-16,East,Evening,6,6,0,True
2023-02-16,East,Night,5,4,1,True
2023-02-16,West,Morning,7,6,1,True
2023-02-16,West,Evening,8,7,1,True
2023-02-16,West,Night,10,9,1,True
2023-02-17,North,Morning,7,5,2,True
2023-02-17,North,Evening,5,4,1,True
2023-02-17,North,Night,6,5,1,True
2023-02-17,South,Morning,12,11,1,False
2023-02-17,South,Evening,12,12,0,True
2023-02-17,South,Night,8,8,0,True
2023-02-17,East,Morning,13,12,1,True
2023-02-17,East,Evening,8,8,0,True
2023-02-17,East,Night,7,6,1,True
2023-02-17,West,Morning,9,7,2,True
2023-02-17,West,Evening,7,7,0,True
2023-02-17,West,Night,12,10,2,True
2023-02-18,North,Morning,8,6,2,True
2023-02-18,North,Evening,13,12,1,True
2023-02-18,North,Night,7,7,0,True
2023-02-18,South,Morning,13,13,0,True
2023-02-18,South,Evening,14,12,2,True
2023-02-18,South,Night,12,10,2,True
2023-02-18,East,Morning,11,10,1,True
2023-02-18,East,Evening,11,11,0,False
2023-02-18,East,Night,5,3,2,True
2023-02-18,West,Morning,9,9,0,True
2023-02-18,West,Evening,5,5,0,False
2023-02-18,West,Night,14,14,0,True
2023-02-19,North,Morning,5,4,1,True
2023-02-19,North,Evening,10,8,2,True
2023-02-19,North,Night,7,6,1,True
2023-02-19,South,Morning,9,8,1,True
2023-02-19,South,Evening,9,7,2,True
2023-02-19,South,Night,7,6,1,True
2023-02-19,East,Morning,10,9,1,True
2023-02-19,East,Evening,10,8,2,True
2023-02-19,East,Night,6,4,2,True
2023-02-19,West,Morning,11,10,1,True
2023-02-19,West,Evening,12,10,2,True
2023-02-19,West,Night,9,9,0,True
2023-02-20,North,Morning,5,5,0,True
2023-02-20,North,Evening,9,9,0,True
2023-02-20,North,Night,13,11,2,True
2023-02-20,South,Morning,12,10,2,True
2023-02-20,South,Evening,6,6,0,True
2023-02-20,South,Night,14,14,0,True
2023-02-20,East,Morning,14,13,1,True
2023-02-20,East,Evening,9,8,1,True
2023-02-20,East,Night,13,12,1,True
2023-02-20,West,Morning,13,11,2,True
2023-02-20,West,Evening,12,10,2,True
2023-02-20,West,Night,6,4,2,True
2023-02-21,North,Morning,13,12,1,True
2023-02-21,North,Evening,10,8,2,True
2023-02-21,North,Night,11,9,2,True
2023-02-21,South,Morning,14,13,1,True
2023-02-21,South,Evening,10,8,2,True
2023-02-21,South,Night,8,8,0,True
2023-02-21,East,Morning,6,5,1,True
2023-02-21,East,Evening,13,13,0,True
2023-02-21,East,Night,7,5,2,True
2023-02-21,West,Morning,10,8,2,True
2023-02-21,West,Evening,14,14,0,True
2023-02-21,West,Night,11,11,0,True
2023-02-22,North,Morning,12,12,0,True
2023-02-22,North,Evening,5,4,1,True
2023-02-22,North,Night,9,7,2,True
2023-02-22,South,Morning,13,12,1,True
2023-02-22,South,Evening,7,5,2,True
2023-02-22,South,Night,9,7,2,True
2023-02-22,East,Morning,11,9,2,True
2023-02-22,East,Evening,5,5,0,False
2023-02-22,East,Night,13,11,2,True
2023-02-22,West,Morning,6,6,0,True
2023-02-22,West,Evening,14,14,0,True
2023-02-22,West,Night,10,8,2,True
2023-02-23,North,Morning,9,8,1,True
2023-02-23,North,Evening,12,11,1,True
2023-02-23,North,Night,8,7,1,True
2023-02-23,South,Morning,7,7,0,True
2023-02-23,South,Evening,14,13,1,True
2023-02-23,South,Night,10,9,1,True
2023-02-23,East,Morning,12,11,1,True
2023-02-23,East,Evening,5,4,1,True
2023-02-23,East,Night,5,5,0,True
2023-02-23,West,Morning,10,8,2,True
2023-02-23,West,Evening,7,7,0,True
2023-02-23,West,Night,8,7,1,True
2023-02-24,North,Morning,13,11,2,True
2023-02-24,North,Evening,5,5,0,True
2023-02-24,North,Night,9,7,2,True
2023-02-24,South,Morning,12,12,0,True
2023-02-24,South,Evening,9,9,0,True
2023-02-24,South,Night,5,3,2,True
2023-02-24,East,Morning,14,14,0,True
2023-02-24,East,Evening,13,13,0,True
2023-02-24,East,Night,5,5,0,True
2023-02-24,West,Morning,11,10,1,True
2023-02-24,West,Evening,13,13,0,True
2023-02-24,West,Night,10,10,0,True
2023-02-25,North,Morning,11,11,0,True
2023-02-25,North,Evening,14,12,2,True
2023-02-25,North,Night,7,7,0,True
2023-02-25,South,Morning,9,7,2,True
2023-02-25,South,Evening,12,11,1,True
2023-02-25,South,Night,13,11,2,True
2023-02-25,East,Morning,9,8,1,True
2023-02-25,East,Evening,6,6,0,True
2023-02-25,East,Night,14,14,0,True
2023-02-25,West,Morning,11,9,2,True
2023-02-25,West,Evening,6,5,1,True
2023-02-25,West,Night,13,12,1,True
2023-02-26,North,Morning,11,9,2,True
